,shop_name,creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
0,kyoxa,2021-01,1,0,USD,False,,-99,0,None
1,WartigDesign,2021-01,5,0,USD,False,,-99,0,None
2,TheKarinEffect,2021-01,5,2,USD,True,,-99,1,None
3,MichaelSantosDesigns,2021-01,0,0,USD,True,,-99,-99,None
4,ArtKeychainShop,2021-01,1,0,CAD,False,,-99,0,None
5,BleriotStudio,2021-01,1,0,USD,True,,-99,0,None
6,Indisimone,2021-01,1,0,USD,True,,-99,0,None
7,VincentVanNoArt,2021-01,1,0,USD,True,,-99,0,None
8,BartRoldan,2021-01,1,0,USD,True,,-99,0,None
9,ShippingNDesigns,2021-01,1,0,USD,True,,-99,0,None
10,CECERESE,2021-01,1,0,CAD,False,,-99,0,None
11,AnthonygiftshopGB,2021-01,1,0,GBP,False,,-99,0,None
12,RuizDesignArt,2021-01,1,0,USD,False,,-99,0,None
13,JonathanYoungStore,2021-01,0,0,USD,False,,-99,-99,None
14,LASOSEN,2021-01,1,0,USD,False,,-99,0,None
15,PaintCrush3,2021-01,2,0,USD,False,,-99,0,None
16,MayasGalaxy,2021-01,1,0,USD,True,,-99,0,None
17,onerhatun,2021-01,9,0,TRY,False,,-99,0,None
18,VintageCollagebyKate,2021-01,1,0,GBP,False,,-99,0,None
19,JohnSimitsesShop,2021-01,1,0,USD,True,,-99,0,None
20,HandMadebyPerver,2021-01,1,0,TRY,False,,-99,0,None
21,WanderingCrocheter,2021-01,23,0,USD,True,,-99,0,None
22,FoxysArtt,2021-01,8,1,GBP,False,,-99,0,None
23,ClintsCups,2021-01,2,0,USD,True,,-99,0,None
24,Bloodq,2021-01,6,1,EUR,False,,-99,0,None
25,RUTHLASHBARR,2021-01,1,0,GBP,False,,-99,0,None
26,SoolCute,2021-01,1,0,USD,False,,-99,0,None
27,RyalsMeStore,2021-01,1,0,USD,True,,-99,0,None
28,CraftJewelsSD,2021-01,1,0,USD,True,,-99,0,None
29,Everettge,2021-01,3,0,CAD,True,,-99,0,None
30,chrisstreano76,2021-01,1,0,USD,True,,-99,0,None
31,JosephIsHere,2021-01,0,0,USD,False,,-99,0,None
32,ErschensSHOP,2021-01,1,0,USD,False,,-99,0,None
33,CordiaGraham,2021-01,1,0,CAD,False,,-99,0,None
34,NewshpCrafts,2021-01,1,0,CAD,False,,-99,0,None
35,JoseAntonioCreations,2021-01,1,0,EUR,False,,-99,0,None
36,handmadebyDimitrios,2021-01,7,0,EUR,False,,-99,0,None
37,LentariCrafts,2021-01,1,0,USD,False,,-99,0,None
38,ShopBelinaandBrent,2021-01,1,0,PHP,False,,-99,0,None
39,WildflowerJulesTarot,2021-01,0,0,CAD,False,,-99,0,None
40,HieronymusHawkes,2021-01,3,0,USD,True,,-99,0,None
41,JanikAntonDullShop,2021-01,1,0,EUR,False,,-99,0,None
42,joan2shopping,2021-01,0,0,USD,False,,-99,0,None
43,ChiinStudio,2021-01,8,0,USD,False,,-99,0,None
44,badicon,2021-01,4,0,USD,True,,-99,0,None
45,MendItItHappens,2021-01,1,0,USD,True,,-99,0,None
46,JulieDoyleDesigns,2021-01,1,0,CAD,False,,-99,0,None
47,ChauvinHuiShop,2021-01,1,0,GBP,False,,-99,0,None
48,KillianandKrew,2021-01,1,0,USD,True,,-99,0,None
49,ShannonBabyShop,2021-01,1,0,USD,False,,-99,0,None
50,XenlieStore,2021-01,1,0,USD,False,,-99,0,None
51,JohnDarrells,2021-01,2,0,USD,False,,-99,0,None
52,MeliMelDesignsCo,2021-01,1,0,USD,True,,-99,0,None
53,JohnsonArtGoods,2021-01,1,0,USD,True,,-99,0,None
54,DRIGGTTT,2021-01,1,0,USD,True,,-99,0,None
55,handmadebyOstmeyer,2021-01,5,0,EUR,False,,-99,0,None
56,MemeshopsBoutique,2021-01,1,0,USD,True,,-99,0,None
57,InnovdesibyCandE,2021-01,8,0,USD,True,Thank you for your order!,-99,0,None
58,KurtKnappenStore,2021-01,1,0,USD,True,,-99,0,None
59,PipatJewelryOnline,2021-01,1,0,USD,False,,-99,0,None
60,VivreDesignsbyD,2021-01,15,1,EUR,False,,-99,0,None
61,MarMacrameArt,2021-01,1,0,USD,False,,-99,0,None
62,FoxtailBlacksmithing,2021-01,1,1,USD,True,,-99,0,None
63,GiantsCrafts,2021-01,3,0,USD,True,,-99,0,None
64,hectorpaul,2021-01,0,0,USD,False,,-99,-99,None
65,BoxesboutiqueCo,2021-01,2,0,GBP,False,,-99,0,None
66,WoodshopByPalazzo,2021-01,1,0,USD,True,,-99,0,None
67,ConsciousCheerleader,2021-01,7,0,USD,True,,-99,0,None
68,DanielDESGINShop,2021-01,6,0,CAD,False,,-99,0,None
69,DolceVivaShop99,2021-01,1,0,USD,True,,-99,0,None
70,kontukids,2021-01,1,0,USD,True,,-99,0,None
71,ShopMichaelDCole,2021-01,1,0,USD,True,,-99,0,None
72,DeenaAMaddock,2021-01,3,0,USD,True,,-99,0,None
73,WintBruch,2021-01,1,0,USD,False,,-99,0,None
74,EllisBraceletsStudio,2021-01,14,0,EUR,False,,-99,0,None
75,BabyWorldTRStore,2021-01,1,0,TRY,False,,-99,0,None
76,CRAFTINGCUSTOMSSHOP,2021-01,6,0,USD,True,,-99,0,None
77,Calmnox,2021-01,2,0,USD,False,,-99,0,None
78,EvansDigital,2021-01,6,0,GBP,False,,-99,0,None
79,AlbertCShija,2021-01,1,0,USD,True,,-99,0,None
80,RickDavisShop,2021-01,1,0,CAD,False,,-99,0,None
81,JamesParsonsCo,2021-01,2,0,USD,True,,-99,0,None
82,UniquelyDesignGifts,2021-01,1,0,GBP,False,,-99,0,None
83,ZIYIDESIGNWORK,2021-01,2,0,USD,True,,-99,0,None
84,TMLeatherCrafter,2021-01,1,0,USD,True,,-99,0,None
85,CheglakovArtCrafts,2021-01,2,0,USD,True,,-99,0,None
86,MaeRaesWoodBoards,2021-01,5,2,USD,True,"Thank you so much for shopping at Mae Rae’s Wood Boards.  Please, feel free to leave a review and tell others to visit the shop.  
God bless",-99,0,None
87,AllWrappedUpBySue,2021-01,21,0,GBP,False,,-99,0,None
88,TrivX,2021-01,1,0,USD,False,,-99,0,None
89,StevenGoldbergDesign,2021-01,1,0,USD,True,,-99,0,None
90,uniearning,2021-01,5,0,USD,True,,-99,0,None
91,iratk56,2021-01,1,0,USD,False,,-99,0,None
92,CraftyGalCreations5,2021-01,1,0,USD,True,,-99,0,None
93,ChristineBurnsShops,2021-01,1,0,GBP,False,,-99,0,None
94,sylviepassetemps,2021-01,3,0,CHF,False,,-99,0,None
95,MySassyDesignsStudio,2021-01,4,0,USD,True,,-99,0,None
96,Yd6c6cu,2021-01,0,0,USD,False,,-99,-99,None
97,StephenReddington,2021-01,1,0,EUR,False,,-99,0,None
98,LyssadesignsArt,2021-01,2,0,USD,True,,-99,0,None
99,SMcleodCreations,2021-01,1,0,USD,True,,-99,0,None
